No.,Question,Correct Answer,Choice A,Choice B,Choice C,Choice D
1,Public policy problems are those that must not be addressed by laws and regulations adopted by government,False,True,,,
2,The short text messages in Twitter are called,tweets,,,,
3,Kantian is a philosophical view or theory about how we should evaluate a wide range of things that involve choices that people face.,False,True,,,
4,It is when laws are used to resolve interpersonal conflicts in a society.,Conflict Resolution,,,,
5,There is a reason that certain people advance more quickly than others in their careers. They have mastered the art of speaking-up by having a balanced voice that their colleagues respect and admire.,True,False,,,
6,Employees must have illegal drugs in their possession while at work. Any illegal drugs found on Departmental property or in the possession of any person on Departmental property will be reported to the Police,False,True,,,
7,"Under Article 106 of our Labor Code, payment should be made directly to the employee and under Article 114, no deductions from the wages are allowed.",True,False,,,
8,It comes from an enforceable part of the moral code that differs with each society and culture.,conventional law,,,,
9,It is an act of seeking public attention to what is considered an illegal or mismanaged act,whistle-blowing,,,,
10,Digital Signature,Authentication,,,,
11,Immanuel Kant is a __________________ philosopher,German,Greek,Asian,Filipino,
12,The decisions we make all occur within a complex set of relationships and interconnections Rare decisions purely autonomous...,Consider all relationships,List the risk and consequences,List the Major Stakeholder,Context,
13,It can cause harm by failing to uphold standards of accuracy,misrepresentations,,,,
14,Ideas are one type of opinion that is critical to voice with peers or leaders because they shape the future of the organization.,Submitting Ideas,Constructive Feedback,Staying Silent,Leadership,
15,"Sometimes, it's prudent to not voice an opinion, depending on the leader, the venue and the other people present.",Staying Silent,Leadership,Submitting Ideas,Constructive Feedback,
16,The person using the ____________________ desires to produce the most good,Consequentialist Framework,Framework,Virtue Framework,Duty Framework,
17,Which of the following does not describe the word ethics?,widely shared social conventions about right and wrong,,,,
18,These are acts which violate the constitutional right workers to organize...,Unfair Labor Practices,Employee's right to self-organization and the right to strike,Anti Sexual Harassment Law,Valid termination of Employment,
19,"Attending social business mixers, sending an email just to catch up, or giving them a call to congratulate them on a promotion.",Stay Connected,Be Supportive,Collaborate with your Business Partners,Don't Compete,
20,A sociologist who wrote a paper 'Broad and Narrow Socialization: The Family in the Context of a Cultural Theory',Jeffrey J Arnett,John A Connect,Jeff J Nett,Peter Arnett,
21,Employees working with children are also required to report if an Apprehended Violence Order has been issued against them...,True,False,,,
22,The main protection method for Vital Records is through Duplication/Dispersal of records.,True,False,,,
23,These individuals test the limitations of information systems out of intellectual curiosity,Hackers,,,,
24,It usually refers to the knowledge and skills required to carry out activities.,Competencies,Mission,Work,Motivation,
25,Employees should get a comprehensive ______________ package that includes eligible dependents...,Healthcare,Retirement,Educational,Dental,
26,There are however exceptions to these provisions when payment to another person of any part of the employee's wages is authorized by existing law...,True,False,,,
27,GSIS is an insurance program mandated by the Philippine government to cover all income earners or workers in the private sector...,False,True,,,
28,Confidential information is regularly handled by the following except:,House,hospitals,financial institutions,religious authorities,
29,Rules that guides individual actions such as not taking the possessions of others are called,directives,,,,
30,The rate is increased to thirty percent (30%) if the worker renders overtime on a holiday or rest day.,True,False,,,
31,"Pab-IBIG provides housing loans, calamity loans, and multi-purpose loans to employees in the Philippines.",True,False,,,
32,"It has been linked to depression, self-injurious behaviors, sleep disturbances...",internet addiction,,,,
33,Individuals whose data are mined can become identified with or linked to certain newly created groups.,True,,,,
34,"In order for professions and trades to uphold essential requirements, integrity, commitment, and professional codes of conduct must be met.",False,,,,
35,A notable difference between minor and gross professional misconduct is the respective level of sanctions that can be applied in each case.,True,False,,,
36,The two kinds of rules of conduct; Directives which involves the macroethical level and Social policies that involves the microethical level.,False,,,,
37,It is threatening behavior or unwanted advances directed at an adult using the Internet or other forms of online and electronic communications,Cyberstalking,,,,
38,It is the core of human dignity and autonomy,privacy,,,,
39,He is one of the leading proponents of what is now called 'classic utilitarianism',Jeremy Bentham,Plato,Conficious,Immanuel Kant,
40,The employee cannot compel his employer to allow him to work overtime when the circumstances does not require him to do so...,True,False,,,
41,A common workplace __________________ involves a manager and his or her employee who are married or dating...,Conflict of Interest,Unethical Profession,Professional Misconduct,Gross Misconduct,
42,"Before taking action, it is a good idea to make sure that you have gathered all of the pertinent information...",Gather all the relevant information,Recognizing an ethical issue,Consider the parties involved,Formulate actions and consider alternatives,
43,According to this theory actions are judged according on the results.,Consequentialism,,,,
44,Men who have experienced sexual or physical abuse at the hands of their partners are twice as likely to have an abortion...,False,True,,,
45,Creating weak business connections can be easier said than done if you don't cultivate and nurture the relationship.,False,True,,,
46,Stalking is a course of conduct directed at a specific person...,Stalking,Roberry,Dating Violence,Drug Violations,
47,"When you voice your opinion consistently, you set a tone for yourself...",Command Respect,No Answer,Strengthen Your Influence,Organizational Performance,
48,Employees are accountable for any documents that they sign.,True,False,,,
49,It mandates the fixing of the minimum wages applicable to different industrial sectors...,RA 6727,RA 6622,RA 6722,RA 6277,
50,"Once the decision is made, communicated and implemented, it is not important to review it...",False,True,,,
51,All stakeholders should be able to understand the rationale and be able to live with the decision.,True,False,,,
52,Immanuel Kant is a __________________ philosopher.,German,Greek,Filipino,Asian,
53,"Gambling in the workplace, other than harmless team building activities... are welcomed.",False,True,,,
54,Every employee shall be assured security of tenure...,Security of Tenure,Work Days and Work Hours,Weekly Rest Day,Equal Work Opportunities for All,
55,It is a messaging social platform that enables a user to chat with friends by using pictures,snapchat,,,,
56,One of the most important things to do at the beginning of ethical deliberation is to locate the specifically ethical aspects...,Recognizing an ethical issue,Formulate actions and consider alternatives,Gather all the relevant information,Consider the parties involved,
57,The Paternity Leave benefit is effective up to the first four deliveries of the woman employee working in the company.,False,True,,,
58,"It is an employee's behaviour, which is serious enough to potentially destroys the relationship between an employer and employee.",Gross Misconduct,Professional Misconduct,Unethical Profession,Conflict of Interest,
59,Which is true about Licensing Authorities...,I & II,,,,
60,"Humans are not perfect; they are emotional, biased, easily manipulated and easily bored beings. Machines, however, don't have any of these problems",Safety,,,,
61,It is a system created by and for human beings usually in public deliberations...,Conventional Law,,,,
62,There are however exceptions to these provisions when the employee authorized his employer in writing to pay his wages to a member of his family,True,False,,,
63,It is an unwritten law that holds our rights of self-preservation,natural law,,,,
64,"It is a Website that contains an online personal journal with reflections, comments, and often hyperlinks provided by the writer",blog,,,,
65,Under time work on any particular day shall not be offset by overtime work on any other day.,True,False,,,
66,Adult women and girls account for 71 percent of all human trafficking victims detected globally.,True,False,,,
67,Inappropriate worker behaviour can also be incorporated in a code of conduct.,True,False,,,
68,Building strong business relationships can be an effective way to decrease your chances of success...,False,True,,,
69,___________ teaches impulse control and helps individuals develop a conscience.,Socialization,Interconnection,Rationalization,Systematization,
70,"In the language of utilitarians, we should choose the option that 'maximizes utility'...",True,False,,,
71,Disability insurance replaces all or part of the income that is lost when a worker is unable to perform their job...,True,False,,,
72,Deontology is based from the work of this philosopher.,Immanuel Kant,John Stuart Mill,Aristotle,Jeremy Bentham,
73,The main protection method for Vital Records is through _______________,Duplicaton,Disposal,Management,Keeping,
74,They use hacking to achieve a political or social goal,hacktivists,,,,
75,Actions taken by members of a profession must not be consistent with the values set out in the profession's code of ethics.,False,True,,,
76,Which of the following refers to a disciplined group of individuals who adhere to ethical standards...,Profession,Company,Work,Government,
77,Is the statement 'Effective ethics codes are not merely a text' true?,True,False,Maybe,No Answer,
78,It is an unethical or unprofessional behaviour that falls short of the ethical or professional standards...,Professional Misconduct,Professionalism,Professional Integrity,Professional Competency,
79,Our actions have consequences on others in our society and on the environment in which we live.,True,False,,,
80,These are any perks offered to employees in addition to salary,Employee Benefits,Salary,Insurances,Fees,
81,"Some issues become considered a personal problem only if citizens, policymakers, or other parties call attention...",False,True,,,
82,It is used to specify the technologies which must be used for a specific task...,Standards and Guidelines,Importance of Organizational Policies,Minimize Cost,Internal Controls,
83,AIs are able to automating parts of people's jobs and it wont affect the employment rate in a company,False,,,,
84,There are ___________ frameworks that is useful in ethical decision making.,Three,Four,Two,Five,
85,_______________ of the Labor Code of the Philippines (LCP) describes different types of employment...,Article 280,Article 028,Article 820,Article 082,
86,When you withhold information,Secrecy,Privacy,Confidentiality,Restriction,
87,Licensees shall obtain written __________ from the parents who are participating in the evaluation...,Waivers of Confidentiality,Contract,Letter,Signature,
88,"Dramatizations, translations, and adaptations of musicals are example of",derivative works,,,,
89,Relying on an individual's or a society's personal choices is analogous to using our sense of touch to determine the extent of a child's fever.,True,False,,,
90,Politicians and attorneys take the Hippocratic Oath to provide the best medical care...,False,True,,,
91,__________ use policies and procedures to outline rules outline courses of action to deal with problems.,Organization,Leaders,Group,Team,
92,These are guidelines that state the dos and dont's of a professional that protects individual members and their image.,Professional Code,,,,
93,The danger with information matching is that everyone knows who will use the built profiles...,False,,,,
94,Which of the following does not belong to the group?,Collective marks,,,,
95,Excellent customer service goes beyond doing precisely as your expected...,True,False,,,
96,Serious proper use of an organization's property or name is considered gross misconduct,True,False,,,
97,A moral principle is a categorical imperative that is universalizable...,True,False,,,
98,It is an interpretation is done based on a system that uses a process of argumentation...,Ethical theories,,,,
99,It is written to guide behavior.,Codes of Ethics,Acts,Rules & Regulations,Mission & Vision,
100,Codes can help provide the pride of belonging to a group or a profession.,Codes of ethics can function as a professional statement,,,,
101,It is any condition or behavior that has negative consequences for large numbers of people...,Social Issues,Security Issues,Political Issues,Personal Issues,
102,Employees who are working with children are also required to report if an Apprehended Violence Order has been issued...,True,False,,,
103,This penalty will cause an accused to be imprisoned for two to four decades,reclusion perpetua,,,,
104,"When two persons have jointly made an invention, the right to the patent shall belong to _______",Both of them,,,,
105,It is a gender related issue where there are approximately 774 million illiterate adults in the world...,Education,Women Rights,Illiteracy,Economic Independence,
106,Secret-key Encryption,Symmetric encryption,,,,
107,These are words or phrases interrelated to ethics.,"Moral Duty, Obligation and Self-Reflection","Mortality, Obligation and Self-Reflection","Moral Duty, Obligation and Self-Respect","Moral Duty, Objectivity and Self-Reflection",
108,Harassment is a form of discrimination and it mainly involves making decisions that negatively affect an individual,False,,,,
109,"Ethical decisions cannot generate and sustain trust; demonstrate respect, responsibility, fairness and caring...",False,True,,,
110,Ethical decision making is the process of making a decision which may result in one or more moral conflicts...,True,,,,
111,Personal emotions behind actions also do not matter within Kantian deontology...,True,False,,,
112,Frauds are sometimes a form of collaboration between an employee and a non-employee,True,,,,
113,It is the position that all points of view are equally valid...,Relativism,Consequential,Rights,Ethical,
114,An employee's prime responsibility is to place the ______________ interest above their own personal interests,Public,Organizational,Company,Boss',
115,It also means the quality of possessing high moral principles or professional standards...,Integrity,Objectivity,Greed,Accountability,
116,Coded Messages,Cryptography,,,,
117,Which is not true about an Insider Threat,The only suspects are employees,,,,
118,"An individual is not responsible for his/her own happiness, emotional well-being...",False,True,,,
119,"The increasing level of familiarity in human actions, may it be good or bad is called _______",Moral Decay,,,,
120,Socialization is the process through which people are taught to be proficient members of a society.,True,False,,,
121,Respect for client confidentiality and staff personal information should be a low priority...,False,True,,,
122,It takes part in building character traits in people.,morality,,,,
123,Which does not belong to the group?,Works of Applied Art,,,,
124,E-mail Fraud,Phishing,,,,
125,It involves the indirect gathering of personal information through an analysis of implicit patterns...,Data Mining,,,,
126,They have a responsibility to ensure that all employees reporting to them comply with their records management obligations.,Managers and Supervisors,Janitors,CEO,Employees,
127,"You shall develop your professional knowledge, skills and competence on a continuing basis...",True,False,No Answer,Maybe,
128,Determinative Laws fixes ways of acting in accordance with natural law.,True,,,,
129,Vital Records should be stored in a format that will last as long as the records are needed.,True,False,,,
130,It is in a format only readable by specific equipment...,Vital Records,Receipt,Books,Information,
131,Codes of Ethics are designed to anticipate and prevent certain specific types of behavior...,True,False,,,
132,Individuals found guilty of child pornography violated _______________,Anti-Child Pornography Act of 2009,,,,
133,Shapes and colors,Trademark,,,,
134,Republic Act No 8293 is also known as the __________,intellectual property code of the Philippines,,,,
135,Long-term success to ending world hunger starts with ending _______________.,Poverty,Democracy,Scarcity,Corruption,
136,Computer programs,Original works,,,,
137,"Upon the age of 80 years or higher, the employee who has served a company for at least five years may be granted a retirement pay...",False,True,,,
138,Which of the following is not true about blogs?,Communicate with one another through e-messaging services that include video,,,,
139,Which is true about Morality?,"It prevents harm and suffering, a moral system aims at promoting human flourishing",,,,
140,A patent must not be obvious to the general public,False,,,,
141,"It means conforming to a rule, such as a specification, policy, standard or law",Compliance,Confirmation,Ethics,Regulation,
142,Public policy problems are those that must not be addressed by laws and regulations adopted by government.,False,True,,,
143,There are two major ethics theories that attempt to specify and justify moral rules and principles: ethical relativism and deontological ethics.,False,True,,,
144,Reckless hindering,System Interference,,,,
145,Dating violence is violence by a person who is or has been in a social relationship...,Dating Violence,Arson,Criminal Mischief,Burglary,
146,"No matter what the situation or the position is, an employee who attends and leaves the office late must be appreciated...",False,True,,,
147,Unauthorized access,Cybertrespass,,,,
148,The decision-making process is developed that individuals tend to execute automatically... The step that involves others in brainstorming is __________.,Identify Alternatives,,,,
149,"You shall respect and value alternative viewpoints and, seek, accept and offer honest criticisms of work.",True,False,,,
150,Ethical behavior should become a habit and effective codes allow both bureaucrats and elected officials to test their actions...,Codes of ethics increase the probability that people will behave in certain ways,,,,
151,Workers should get at least ____ paid regular holidays and seven special holidays annually,12,15,10,3,
152,Its goal is to create a buzz about a product or idea that spreads wide and fast,viral marketing,,,,
153,"To ensure confidentiality, workers should only access confidential information for work that is not covered by their job description...",False,True,,,
154,It is a mediation of interaction through an electronic medium between humans and humans as well as between humans and machines,virtualization,,,,
155,The employee who renders overtime will be given additional compensation equivalent to his regular wage plus at least 25% premium.,Overtime Pay,Holiday Pay,13th Month Pay,Retirement Pay,
156,You cannot require as a condition of employment or continuation of employment that a woman employee shall not get married.,Prohibition against stipulation of marriage,Employment of Children,Payment of Wages,Female Employees,
157,Ethics is not the same as feelings. Feelings provide important information for our ethical choices.,True,False,,,
158,"No matter what option is being discussed, any viable solution to an ethical situation will need to reflect the values of all parties involved.",True,False,,,
159,One of the most important elements of confidentiality is that it helps to build and develop __________________,Trust,Business,Partnership,Relationship,
160,These rights are expressly provided by the 1987 Constitution and the Labor Code...,Employee's right to self-organization and the right to strike,Valid termination of Employment,Anti Sexual Harassment Law,Unfair Labor Practices,
161,Confidentiality is the keeping of another person or entity's information public,False,True,,,
162,"No code, no matter how severely enforced will make truly bad people good.",True,False,,,
163,"As you mature in your career, so should your voice.",True,False,Maybe,No Answer,
164,Being able to maintain politeness and control even when dealing with distraught patients is not a valuable skill.,False,True,,,
165,Relationships that enable trust and bring exceptional results don't happen unless there's a conscious intention to make them happen.,True,False,,,
166,"Reportable conduct does not mean any sexual offence or sexual misconduct committed against, with or in the presence of a child...",False,True,,,
167,It is one of the most powerful and persuasive approaches to normative ethics in the history of philosophy.,Utilitarianism,Relativism,Deontology,Kantian Ethics,
168,The primary purpose of professional code of ethics is to promote the public image of the profession...,False,,,,
169,"A good professional partnership is not only powerful and long lasting, but highly supportive as well.",Be Supportive,Don't Compete,Stay Connected,Collaborate with your Business Partners,
170,The word deontology derives from the Greek words for duty (deon) and science (or study) of (logos).,True,False,,,
171,The Code does not attempt to provide a detailed and exhaustive list of what to do in every aspect of our work...,True,False,,,
172,It is the desire to do the right thing regardless of the cost,Commitment,Conduct,Consciousness,Competency,
173,"You can not show good judgment in the way you dress, speak and act in both your public and private life.",False,True,,,
174,They launch computer-based attacks against other computers or networks in an attempt to intimidate or coerce a government...,cyberterrorist,,,,
175,It will be important to consider for clinical and non-clinical situations...,Context,List the Major Stakeholder,List the risk and consequences,Consider all relationships,
176,AIs are software programs that are vulnerable to attack just like all software,True,,,,
177,It is a situation in which someone in a position of responsibility in an organization has outside conflicting interests...,Self-Dealing,Conflict of Interest,Principles,Nepotism,
178,This theory states that ethical statements cannot be proven and are really only statements about how someone feels.,emotivism,,,,
179,Ethics is defined as a field of inquiry whose subject is human actions and these human actions are called,human conduct,,,,
180,Witness Protection,Pseudo identity,,,,
181,"It is a cultural difference where some cultures view conflict as a positive thing, whilst others try to avoid it.",Different attitude towards conflict,Different attitude towards disclosure,Different approaches to completing task,Different non verbal communication style,
182,If a breach of confidentiality occurs regarding medical or legal information...,Professional License,Business Permit,Student Records,Diploma,
183,"By providing increased access and flexibility in employee benefits, employers can not only recruit but retain qualified employees.",True,False,,,
184,Match the following words to the given choices,Match the following words to the given choices,,,,
185,Preventing of unauthorized disclosure of information,Confidentiality,,,,
186,Individuals whose data are mined cannot be identified with or linked to certain newly created groups.,False,,,,
187,"A/an ____________may reveal client confidences and secrets, to the extent reasonably necessary",Lawyer,Business Partner,CEO,Employee,
188,"The RA No 8187, or Paternity Leave Act of 1996, grants seven days of fully paid leave to married fathers...",True,False,,,
189,"'For my thoughts are not your thoughts, neither are your ways my ways,' declares the Lord",Isaiah 55:8,Ephesians 4:2,Peter 5:8,John 15:12,
190,Resourcefulness is the ability to find solutions where there are no easy answers...,True,False,,,
191,More than __________ children throughout the globe that are of the age to be in primary education are not enrolled in school.,72 Million,27 Million,72 Billion,27 Billion,
192,It states that the protection of confidential information is a fundamental feature of your relationship with clients...,Chapter 4,Chapter 5,Chapter 6,Chapter 7,
193,"Merriam-Webster defines professionalism as 'the skill, good judgment and polite behavior...'",True,False,,,
194,Which is not an example of maintaining confidentiality?,Gossip,,,,
195,It is a cornerstone of achieving success in the business world that will serve you well throughout your career.,Behaving,Good Services,Creating partnership,Creating credentials,
196,"Personal responsibility refers to a person's individual obligations to herself, family, friends, community and coworkers.",True,False,,,
197,It is a human cognitive process of looking for ways to generate or affirm a proposition,reasoning,,,,
198,It is a three dimensional interactive computer generated environment that incorporates a first person perspective,virtual reality,,,,
199,Showing an act of kindness in exchange to an equal act of kindness is an example what culture-free moral codes?,the bronze rule,,,,
200,The last step on the road to good customer service happens way before any chats or calls with customers...,False,True,,,
201,Which is not a characteristic of an intellectual object:,It is easily owned,,,,
202,Worms are programs where malicious code is hidden inside a seemingly harmless program,False,,,,
203,Scholars and those involved in human research have legal and ethical obligations to protect the privacy of persons...,True,False,,,
